country,year,CL,PR,Status,Region_Code,Region_Name,is_ldc
Afghanistan,2012,6,6,NF,142,Asia,1
Albania,2012,3,3,PF,150,Europe,0
Algeria,2012,5,6,NF,2,Africa,0
Andorra,2012,1,1,F,150,Europe,0
Angola,2012,5,6,NF,2,Africa,1
Antigua and Barbuda,2012,2,2,F,19,Americas,0
Argentina,2012,2,2,F,19,Americas,0
Armenia,2012,4,5,PF,142,Asia,0
Australia,2012,1,1,F,9,Oceania,0
Austria,2012,1,1,F,150,Europe,0
Azerbaijan,2012,5,6,NF,142,Asia,0
Bahamas,2012,1,1,F,19,Americas,0
Bahrain,2012,6,6,NF,142,Asia,0
Bangladesh,2012,4,3,PF,142,Asia,1
Barbados,2012,1,1,F,19,Americas,0
Belarus,2012,6,7,NF,150,Europe,0
Belgium,2012,1,1,F,150,Europe,0
Belize,2012,2,1,F,19,Americas,0
Benin,2012,2,2,F,2,Africa,1
Bhutan,2012,5,4,PF,142,Asia,1
Bolivia (Plurinational State of),2012,3,3,PF,19,Americas,0
Bosnia and Herzegovina,2012,3,3,PF,150,Europe,0
Botswana,2012,2,3,F,2,Africa,0
Brazil,2012,2,2,F,19,Americas,0
Brunei Darussalam,2012,5,6,NF,142,Asia,0
Bulgaria,2012,2,2,F,150,Europe,0
Burkina Faso,2012,3,5,PF,2,Africa,1
Burundi,2012,5,5,PF,2,Africa,1
Cabo Verde,2012,1,1,F,2,Africa,0
Cambodia,2012,5,6,NF,142,Asia,1
Cameroon,2012,6,6,NF,2,Africa,0
Canada,2012,1,1,F,19,Americas,0
Central African Republic,2012,5,5,PF,2,Africa,1
Chad,2012,6,7,NF,2,Africa,1
Chile,2012,1,1,F,19,Americas,0
China,2012,6,7,NF,142,Asia,0
Colombia,2012,4,3,PF,19,Americas,0
Comoros,2012,4,3,PF,2,Africa,1
Congo,2012,5,6,NF,2,Africa,0
Democratic Republic of the Congo,2012,6,6,NF,2,Africa,1
Costa Rica,2012,1,1,F,19,Americas,0
CÃƒÂ´te dÃ¢â‚¬â„¢Ivoire,2012,5,5,PF,2,Africa,0
Croatia,2012,2,1,F,150,Europe,0
Cuba,2012,6,7,NF,19,Americas,0
Cyprus,2012,1,1,F,142,Asia,0
Czechia,2012,1,1,F,150,Europe,0
Denmark,2012,1,1,F,150,Europe,0
Djibouti,2012,5,6,NF,2,Africa,1
Dominica,2012,1,1,F,19,Americas,0
Dominican Republic,2012,2,2,F,19,Americas,0
Ecuador,2012,3,3,PF,19,Americas,0
Egypt,2012,5,5,PF,2,Africa,0
El Salvador,2012,3,2,F,19,Americas,0
Equatorial Guinea,2012,7,7,NF,2,Africa,0
Eritrea,2012,7,7,NF,2,Africa,1
Estonia,2012,1,1,F,150,Europe,0
Eswatini,2012,5,7,NF,2,Africa,0
Ethiopia,2012,6,6,NF,2,Africa,1
Fiji,2012,4,6,PF,9,Oceania,0
Finland,2012,1,1,F,150,Europe,0
France,2012,1,1,F,150,Europe,0
Gabon,2012,5,6,NF,2,Africa,0
Georgia,2012,3,3,PF,142,Asia,0
Germany,2012,1,1,F,150,Europe,0
Ghana,2012,2,1,F,2,Africa,0
Greece,2012,2,2,F,150,Europe,0
Grenada,2012,2,1,F,19,Americas,0
Guatemala,2012,4,3,PF,19,Americas,0
Guinea,2012,5,5,PF,2,Africa,1
Guinea-Bissau,2012,5,6,NF,2,Africa,1
Guyana,2012,3,2,F,19,Americas,0
Haiti,2012,5,4,PF,19,Americas,1
Honduras,2012,4,4,PF,19,Americas,0
Hungary,2012,2,1,F,150,Europe,0
Iceland,2012,1,1,F,150,Europe,0
India,2012,3,2,F,142,Asia,0
